col1 col2
1440.08 1.11726e-13
1441.21 1.11155e-13
1442.34 1.10547e-13
1443.47 1.10211e-13
1444.6 1.09865e-13
1445.73 1.09874e-13
1446.86 1.10306e-13
1447.99 1.1048e-13
1449.12 1.10601e-13
1450.25 1.10573e-13
1451.38 1.10161e-13
1452.51 1.09781e-13
1453.64 1.09317e-13
1454.77 1.09104e-13
1455.9 1.08981e-13
1457.03 1.09415e-13
1458.16 1.09515e-13
1459.29 1.09293e-13
1460.42 1.08743e-13
1461.55 1.08209e-13
1462.68 1.0787e-13
1463.81 1.07908e-13
1464.94 1.08034e-13
1466.07 1.07979e-13
1467.2 1.07927e-13
1468.33 1.08209e-13
1469.46 1.08509e-13
1470.59 1.08401e-13
1471.72 1.0818e-13
1472.85 1.08491e-13
1473.98 1.08942e-13
1475.11 1.08883e-13
1476.24 1.08835e-13
1477.37 1.09424e-13
1478.5 1.09805e-13
1479.63 1.09715e-13
1480.76 1.0942e-13
1481.89 1.09501e-13
1483.02 1.09412e-13
1484.15 1.09611e-13
1485.28 1.10035e-13
1486.41 1.10329e-13
1487.54 1.10305e-13
1488.67 1.10188e-13
1489.8 1.10521e-13
1490.93 1.10852e-13
1492.06 1.11009e-13
1493.19 1.10836e-13
1494.32 1.10807e-13
1495.45 1.11464e-13
1496.58 1.1218e-13
1497.71 1.12046e-13
1498.84 1.11672e-13
1499.97 1.11724e-13
1501.1 1.12239e-13
1502.23 1.12561e-13
1503.36 1.12962e-13
1504.49 1.13219e-13
1505.62 1.1301e-13
1506.75 1.12735e-13
1507.88 1.13169e-13
1509.01 1.13413e-13
1510.14 1.13536e-13
1511.27 1.13794e-13
1512.4 1.14529e-13
1513.53 1.15388e-13
1514.65 1.16321e-13
1515.78 1.16973e-13
1516.91 1.17415e-13
1518.04 1.18001e-13
1519.17 1.18801e-13
1520.3 1.19741e-13
1521.43 1.20713e-13
1522.56 1.22145e-13
1523.69 1.23445e-13
1524.82 1.24946e-13
1525.95 1.26694e-13
1527.08 1.28752e-13
1528.21 1.30563e-13
1529.34 1.32604e-13
1530.47 1.3478e-13
1531.6 1.37304e-13
1532.73 1.40037e-13
1533.86 1.43029e-13
1534.99 1.45888e-13
1536.12 1.49278e-13
1537.25 1.53928e-13
1538.38 1.58992e-13
1539.51 1.64306e-13
1540.64 1.70734e-13
1541.77 1.77948e-13
1542.9 1.84575e-13
1544.03 1.90232e-13
1545.16 1.9457e-13
1546.29 1.97192e-13
1547.42 1.97654e-13
1548.55 1.9682e-13
1549.68 1.93917e-13
1550.81 1.90093e-13
1551.94 1.85633e-13
1553.07 1.80568e-13
1554.2 1.74292e-13
1555.33 1.67646e-13
1556.46 1.61479e-13
1557.59 1.5668e-13
1558.72 1.52148e-13
1559.85 1.47677e-13
1560.98 1.43101e-13
1562.11 1.38928e-13
1563.24 1.35625e-13
1564.37 1.32703e-13
1565.5 1.29791e-13
1566.63 1.27068e-13
1567.76 1.2468e-13
1568.89 1.22954e-13
1570.02 1.2152e-13
1571.15 1.19897e-13
1572.28 1.18456e-13
1573.41 1.17079e-13
1574.54 1.158e-13
1575.67 1.14282e-13
1576.8 1.13123e-13
1577.93 1.12403e-13
1579.06 1.11872e-13
1580.19 1.1092e-13
1581.32 1.09817e-13
1582.45 1.08897e-13
1583.58 1.08165e-13
1584.71 1.07565e-13
1585.84 1.07082e-13
1586.97 1.06794e-13
1588.1 1.0671e-13
1589.23 1.0628e-13
1590.36 1.05739e-13
1591.49 1.05371e-13
1592.62 1.05301e-13
1593.75 1.05397e-13
1594.88 1.05331e-13
1596.01 1.04845e-13
1597.14 1.04017e-13
1598.27 1.03462e-13
1599.4 1.03586e-13
1600.53 1.0387e-13
1601.66 1.03932e-13
1602.79 1.03708e-13
1603.92 1.03574e-13
1605.05 1.03461e-13
1606.18 1.03497e-13
1607.31 1.03471e-13
1608.44 1.03301e-13
1609.57 1.03293e-13
1610.7 1.03155e-13
1611.83 1.02895e-13
1612.96 1.02761e-13
